mesh23d,elevation
0000,21.6
0001,9.1
0002,23
0003,47
0004,49.2
0005,31.6
0006,8.3
0007,21.1
0008,39.9
0009,21.4
0010,18.6
0011,10.9
0012,23.2
0013,13
0014,12.8
0015,12.3
0016,9.4
0017,12.9
0018,12.8
0019,25.6
0020,11
0021,24
0022,28.6
0023,9.2
0024,10.2
0025,8.3
0026,13.5
0027,30.6
0028,37.4
0029,60
0030,7.1
0031,18.1
0032,45.7
0033,10.3
0034,7.8
0035,9.3
0036,23
0037,40.1
0038,65.4
0039,75.1
0040,4.1
0041,32.7
0042,60.5
0043,19.3
0044,6.9
0045,11.8
0046,50.9
0047,42.7
0048,60.1
0049,91.7
0050,3
0051,15.3
0052,44.3
0053,20.1
0054,7.6
0055,6
0056,48.7
0057,85.9
0058,83.9
0059,90.5
0061,4.4
0062,8
0063,9.7
0064,6.1
0065,7.4
0066,26.2
0067,81.2
0068,80.4
0069,106.7
0070,0.4
0071,6.9
0072,12.1
0073,12.1
0074,8.3
0075,5.7
0076,52.2
0077,62.9
0078,64.6
0079,78.3
0081,11.2
0082,24.7
0083,77.7
0084,14
0085,7.9
0086,22
0087,45.6
0088,55.9
0089,94.3
0091,8.2
0092,30.6
0093,94.8
0094,41.2
0095,8
0096,12.2
0097,48.3
0098,65.3
0099,83.8
0100,21.6
0101,61.6
0102,77.5
0103,93.4
0104,307.6
0105,355.4
0106,214.9
0107,286.9
0108,230.5
0109,199.6
0110,70.1
0111,149.3
0112,231.1
0113,160.9
0114,368.6
0115,484.3
0116,318.8
0117,266.7
0118,247
0119,239.1
0120,83.1
0121,150.4
0122,314.3
0123,279.2
0124,299.6
0125,439.2
0126,409.3
0127,218.1
0128,205.3
0129,236.8
0130,107.4
0131,199.2
0132,362.2
0133,429.4
0134,483.1
0135,491.1
0136,377.7
0137,222.7
0138,184.7
0139,197.5
0140,105.3
0141,161.4
0142,267.9
0143,365.2
0144,458.1
0145,409.6
0146,295.2
0147,204.3
0148,148
0149,180.4
0150,127.9
0151,194.9
0152,300.1
0153,391.4
0154,441
0155,353.9
0156,250.1
0157,159.1
0158,150.7
0159,150
0160,121.3
0161,179.2
0162,349.2
0163,453.2
0164,374.1
0165,282.5
0166,192
0167,137.7
0168,113.8
0169,135.1
0170,108.7
0171,177
0172,332.4
0173,467.6
0174,306
0175,264.4
0176,184.2
0177,107.5
0178,137.4
0179,223.3
0180,104.8
0181,183.4
0182,411.3
0183,480.3
0184,322.8
0185,213.8
0186,159.8
