mesh23d,elevation
5070,10.6
5080,15.8
5090,25.9
5091,9.6
6000,37
6001,9.6
6010,48.1
6011,21
6012,8.8
6020,61
6021,55.8
6022,21.1
6030,76.5
6031,72.5
6032,54.7
6033,11.2
6040,87.9
6041,86.8
6042,79
6043,58.8
6044,19.1
6050,98.9
6051,98.7
6052,95.8
6053,87
6054,55.4
6055,16
6060,125.3
6061,121.9
6062,126.8
6063,114.1
6064,98.5
6065,52
6066,22.8
6070,182.9
6071,175.3
6072,166.3
6073,138.6
6074,121
6075,105.1
6076,71
6077,32.9
6079,90
6080,265.4
6081,236
6082,200.2
6083,183
6084,154.8
6085,128.4
6086,102.4
6087,61.8
6088,83.7
6089,264
6090,200.7
6091,277.2
6092,254.3
6093,233.7
6094,184.6
6095,150.6
6096,126.3
6097,104.8
6098,148.7
6099,355.8
6161,35.1
6170,228.2
6171,321.4
6172,251.4
6173,133.4
6174,47.8
6176,8.4
6180,419.4
6181,431.2
6182,574
6183,514.7
6184,219.5
6185,185.7
6186,119.1
6187,8.3
6190,528.4
6191,641.8
6192,607.9
6193,663.2
6194,384.8
6195,363.3
6196,344.6
6197,62.7
6198,5.9
7000,48.9
7001,166.6
7002,309.9
7003,247
7004,204.8
7005,163.8
7006,137.2
7007,112.4
7008,120.1
7009,262.3
7011,41
7012,247.7
7013,276.5
7014,228.7
7015,178.2
7016,146.1
7017,135
7018,149.3
7019,331.4
7022,205.4
7023,291.6
7024,209.6
7025,162.6
7026,145.3
7027,132
7028,134.5
7029,203.4
7032,155
7033,287
7034,231.8
7035,154.8
7036,128.3
7037,109.8
7038,122.2
7039,180.4
7042,213.2
7043,255.8
7044,200.4
7045,141.4
7046,88.6
7047,88.3
7048,99.6
7049,133.3
7052,152.8
7053,186.2
7054,153.5
7055,117.2
7056,74.9
7057,75.3
7058,77.6
7059,76
7061,90.2
7062,127
7063,122.1
7064,91.6
7065,56.5
7066,32.8
7067,29.1
7068,45.3
7069,72.9
7070,100.4
7071,147.3
7072,124.4
7073,87.9
7074,44.1
7075,15.6
7078,21.5
7079,32.7
7080,43.9
7081,48.4
7082,53.5
7083,32.5
7084,14.8
7090,27.7
7091,12.3
7092,5.3
7093,4.5
7100,546.1
7101,684.7
7102,612.3
7103,718.5
7104,638
7105,513.6
7106,283.2
7107,158.8
7108,42.8
7110,548.7
7111,470.1
7112,427.1
7113,413.8
7114,489.1
7115,459.5
7116,319.1
7117,342.8
7118,155.7
7119,20.4
7120,399.4
7121,305.2
7122,261
7123,274.4
7124,343.2
7125,252.8
7126,268.1
7127,212.3
7128,109.5
7129,114.5
7130,214.9
7131,190.2
7132,307.3
7133,312.8
7134,159.5
7135,100.7
7136,97.3
7137,121.6
7138,251.8
7139,204.9
7140,143.3
7141,420.3
7142,479.9
7143,200
7144,91.9
7145,83
7146,83
7147,120.1
7148,313.2
7149,299.4
7150,136.8
7151,309.9
7152,375.7
7153,289
7154,113.7
7155,86.1
7156,88.1
7157,156.8
7158,330.6
7159,369.6
7160,115.6
7161,168.3
7162,224.7
7163,300.4
7164,181.2
7165,130.1
7166,123.8
7167,179.1
7168,319.4
7169,304.1
7170,83.5
7171,147.3
7172,179.8
7173,271.7
7174,388.5
7175,281.3
7176,266.2
7177,301.4
7178,364.6
7179,215.6
7180,29.7
7181,101.3
7182,164.4
7183,286.4
7184,360.1
7185,390.2
7186,531.4
7187,476
7188,315.8
7189,391.7
7190,18.1
7191,46.5
7192,119.1
7193,207.6
7194,188.3
7195,313
7196,508.5
7197,483
7198,277.2
7199,330.2
7210,7.8
7220,16.2
7221,8.5
7230,94.3
7240,151.4
7250,194.4
7251,37.3
7260,125.5
7261,53.3
7270,217.9
7271,131
7272,34.6
7280,342.5
7281,182.6
7282,44.9
7290,323.6
7291,213.2
7292,122
7293,64.8
7294,23.7
